id,full_text_file,publication_year,doi,title,include_flag_pg,include_raw_pg,reason_raw_pg,include_flag_la,include_raw_la,reason_raw_la,updated_reason_raw_la,species_raw_la,species_raw_pg,species_raw_combined,lifestage_raw_la,lifestage_raw_pg,lifestage_raw_combined,location_raw_la,location_raw_pg,location_raw_combined,species_standardized,lifestage_standardized,location_standardized
23,23_grantham_2012,2012,10.1080/00028487.2012.683472,The Role of Streamflow and Land Use in Limiting Oversummer Survival of Juvenile Steelhead in California Streams,Y,Y,3a,Y,"yes - straightforwardly relevant, directly evaluates impact of cover on juvenile rearing/presence",3a,,steelhead trout,steelhead,steelhead trout || steelhead,rearing,juvenile,rearing || juvenile,"Russian River tributaries, California","Russian River, California","Russian River tributaries, California || Russian River, California",Oncorhynchus mykiss (steelhead),juvenile_unspecified,"Russian River tributaries, California, USA"
55,55_mocq_2013,2013,10.1016/j.ecolmodel.2013.05.020,Assessment of Atlantic salmon (Salmo salar) habitat quality and its uncertainty using a multiple-expert fuzzy model applied to the Romaine River (Canada),Y,Y,1b,M,"maybe? it was mostly about modeling a fuzzy-rules approach to habitat suitability curve development, which I guess is interesting for our purposes",3a (ish),1bi,Atlantic salmon,Atlantic salmon,Atlantic salmon,"rearing (young of year, parr), spawning","young-of-the-year, parr, spawning adults","rearing (young of year, parr), spawning || young-of-the-year, parr, spawning adults","Romaine River, Québec, Canada","Romaine River, Canada","Romaine River, Québec, Canada || Romaine River, Canada",Salmo salar,adult; juvenile_unspecified; parr; subyearling,"Romaine River, Quebec, Canada"
4,04_kennedy_2014,2014,10.1111/fme.12077,Assessment of a catchmentwide salmon habitat rehabilitation scheme on a drained river system in Northern Ireland,Y,Y,"3a, 3c",Y,"yes - good treatment of boulders, explicitly focused on restoration actions",3a,,"Atlantic salmon, brown trout","Atlantic salmon, brown trout","Atlantic salmon, brown trout","rearing (fry, parr)",juvenile salmon between 0+ (summer) and 1+ (summer) age classes,"rearing (fry, parr) || juvenile salmon between 0+ (summer) and 1+ (summer) age classes",Northern Ireland,"River Main, Northern Ireland","Northern Ireland || River Main, Northern Ireland",Salmo salar; Salmo trutta,fry; juvenile_unspecified; parr,"River Main, Northern Ireland, UK"
43,43_tullos_2014,2014,10.1007/s10641-014-0362-4,"Fish use of turbulence around wood in winter: physical experiments on hydraulic variability and habitat selection by juvenile coho salmon, Oncorhynchus kisutch",Y,Y,3a,Y,yes - interesting discussion of the impacts of large wood on velocities and microhabitat availability,3a,,coho salmon,coho,coho salmon || coho,rearing,overwintering juvenile,rearing || overwintering juvenile,"experimental channels, Oregon","Oregon Hatchery Research Center in Alsea, Oregon","experimental channels, Oregon || Oregon Hatchery Research Center in Alsea, Oregon",Oncorhynchus kisutch,juvenile_unspecified,"Oregon Hatchery Research Center, Oregon, USA"
44,44_conallin_2014,2014,10.1051/kmae/2014006,Daytime habitat selection for juvenile parr brown trout (Salmo trutta) in small lowland streams,Y,Y,3a,Y,yes? the article is an explicit habitat suitability study that quantifies and establishes the importance of cover as a habitat selection variable,3a,,brown trout,brown trout,brown trout,spawning,juvenile,spawning || juvenile,Denmark,Denmark,Denmark,Salmo trutta,adult; juvenile_unspecified,Denmark
47,47_studdert_2015,2015,10.1656/045.022.0409,Seasonal Variation in Habitat Use of Juvenile Steelhead in a Tributary of Lake Ontario,Y,Y,3a,Y,yes - direct evaluation of fish behavior relative to cover,3a,,steelhead trout,steelhead,steelhead trout || steelhead,rearing,"subyearling, yearling","rearing || subyearling, yearling","Trout Brook, NY","Trout Brook, New York","Trout Brook, NY || Trout Brook, New York",Oncorhynchus mykiss (steelhead),subyearling; yearling,"Trout Brook, New York, USA"
15,15_favrot_2018,2018,10.1002/tafs.10011,Fall and Winter Microhabitat Use and Suitability for Spring Chinook Salmon Parr in a US Pacific Northwest River,Y,Y,3a,Y,yes - direct attention to cover,3a,,Chinook salmon (spring run),chinook,Chinook salmon (spring run) || chinook,rearing (parr),parr,rearing (parr) || parr,"Catherine Creek, Oregon","Catherine Creek, Oregon","Catherine Creek, Oregon",Oncorhynchus tshawytscha (spring-run),parr,"Catherine Creek, Oregon, USA"
26,26_barber_2018,2018,10.2495/EI-V1-N3-390-400,Uncertainty in minimum instream flow requirements for streams in semi-arid environments,Y,Y,1b,Y,yes - nice table of cover preference values,1b,,"""anadromous and endangered fish species"" - salmon (species not specified), steelhead, bull trout","salmon (chinook, coho, sockeye), steelhead, trout, bull trout","""anadromous and endangered fish species"" - salmon (species not specified), steelhead, bull trout || salmon (chinook, coho, sockeye), steelhead, trout, bull trout","spawning, rearing, holding","spawning, rearing, holding","spawning, rearing, holding","Touchet River, southeastern Washington","Touchet River, Washington","Touchet River, southeastern Washington || Touchet River, Washington",Oncorhynchus kisutch; Oncorhynchus mykiss (steelhead); Oncorhynchus nerka; Oncorhynchus tshawytscha; Salvelinus confluentus,adult; juvenile_unspecified,"Touchet River, Washington, USA"
39,39_bair_2019,2019,10.5194/esurf-7-841-2019,Quantifying the restoration success of wood introductions to increase coho salmon winter habitat,Y,Y,"2b, 3b",Y,yes - interesting discussion of the impacts of large wood on velocities and microhabitat availability,"2b, 3b",,coho salmon,coho,coho salmon || coho,rearing,juvenile,rearing || juvenile,"Mill Creek, Oregon","Mill Creek, Oregon","Mill Creek, Oregon",Oncorhynchus kisutch,juvenile_unspecified,"Mill Creek, Oregon, USA"
6,06_wilbur_2020,2020,10.1002/rra.3570,Characterizing physical habitat preferences and thermal refuge occupancy of brook trout (Salvelinus fontinalis) and Atlantic salmon (Salmo salar) at high river temperatures,Y,Y,3c,N,no,1a,3c,"Atlantic salmon, brook trout","brook trout, Atlantic salmon","Atlantic salmon, brook trout || brook trout, Atlantic salmon","rearing (parr), adults",parr,"rearing (parr), adults || parr","New Brunswick, Canada","Cains River, New Brunswick","New Brunswick, Canada || Cains River, New Brunswick",Salmo salar; Salvelinus fontinalis,adult; parr,"Cains River, New Brunswick, Canada"
11,11_naman_2020,2020,10.1002/nafm.10411,Exploitation of Velocity Gradients by Sympatric Stream Salmonids: Basic Insights and Implications for Instream Flow Management,Y,Y,1b,,not sure,2ai,1bii,"coho salmon, steelhead trout","coho, steelhead","coho salmon, steelhead trout || coho, steelhead",rearing,juvenile,rearing || juvenile,"Coquitlam River, British Columbia","Coquitlam River, British Columbia","Coquitlam River, British Columbia",Oncorhynchus kisutch; Oncorhynchus mykiss (steelhead),juvenile_unspecified,"Coquitlam River, British Columbia, Canada"
12,12_moniz_2021,2021,10.1002/rra.3855,Chinook salmon rearing habitat-discharge relationships change as a result of morphodynamic processes,Y,Y,3a,Y,"yes - includes a temporal component for habitat suitability work and highlights that habitats evolve over time; long-term flow requirements must account for geomorphic evolution, not assume static relationships",1biv,2d,Chinook salmon,chinook,Chinook salmon || chinook,rearing,rearing fry,rearing || rearing fry,"Yuba River, California","Yuba River, California","Yuba River, California",Oncorhynchus tshawytscha,fry,"Yuba River, California, USA"
31,31_fitzgerald_2021,2021,10.5061/DRYAD.KSN02V74X,"Physical and biological constraints on the capacity for life-history expression of anadromous salmonids: an Eel River, California, case study",Y,Y,2c,Y,"yes - cover is evaluated directly and operationalized as a productivity scalar affecting juvenile rearing capacity, so even though it is not independently analyzed statistically, it functions as part of a composite capacity framework",3a,2c,"steelhead trout, Chinook salmon","steelhead, chinook","steelhead trout, Chinook salmon || steelhead, chinook","all - migration, holding, spawning, incubation, emergence, rearing, outmigration","juvenile rearing, outmigration, parr capacity","all - migration, holding, spawning, incubation, emergence, rearing, outmigration || juvenile rearing, outmigration, parr capacity","Eel River, CA","Eel River, California","Eel River, CA || Eel River, California",Oncorhynchus mykiss (steelhead); Oncorhynchus tshawytscha,adult; egg; fry; juvenile_unspecified; parr,"Eel River, California, USA"
51,51_naman_2021,2021,10.1139/cjfas-2020-0475,Diel patterns of foraging and microhabitat use by sympatric rainbow trout and bull trout: implications for adaptive differentiation and instream flow assessment,Y,Y,3a,Y,yes - cover directly measured and related to fish presence,3a,,"rainbow trout, bull trout","rainbow trout, bull trout","rainbow trout, bull trout",rearing (juvenile),juvenile,rearing (juvenile) || juvenile,"Skagit River, BC, Canada","Skagit River, British Columbia, Canada","Skagit River, BC, Canada || Skagit River, British Columbia, Canada",Oncorhynchus mykiss (rainbow trout); Salvelinus confluentus,juvenile_unspecified,"Skagit River, British Columbia, Canada"
13,13_roni_2023,2023,10.1002/tafs.10399,A comparison of methods for estimating juvenile salmon habitat capacity to assist with restoration planning and evaluation,Y,Y,"3a, 3b",Y,yes - cover had a positive relationship with capacity,"3a, 5",,Chinook salmon (spring run),Chinook,Chinook salmon (spring run) || Chinook,rearing,juvenile,rearing || juvenile,"Grande Ronde River, Oregon","Grande Ronde River, Oregon","Grande Ronde River, Oregon",Oncorhynchus tshawytscha (spring-run),juvenile_unspecified,"Grande Ronde River, Oregon, USA"
14,14_jelovica_2024,2024,10.1016/j.ecolind.2024.111832,Atlantic salmon habitat-abundance modeling using machine learning methods,Y,Y,3a,Y,yes - cool methods! and treated cover directly,3a,,Atlantic salmon,Atlantic salmon,Atlantic salmon,"rearing (fry, parr)",juvenile,"rearing (fry, parr) || juvenile","Teno River, Finland","Teno catchment, Finland and Norway","Teno River, Finland || Teno catchment, Finland and Norway",Salmo salar,fry; juvenile_unspecified; parr,"Teno catchment, Finland and Norway"
42,42_chalmers_2023e,,10.1371/journal.pwat.0000069,Application of watershed-scale habitat modeling and decision-support tools for reservoir reoperations in coastal northern California,Y,Y,1b,,not sure - cover is only addressed as an input to a multi-objective optimization model for water supply management decisions,1b,,"Chinook salmon, steelhead trout","chinook, steelhead","Chinook salmon, steelhead trout || chinook, steelhead","immigration, spawning, incubation, fry rearing, juvenile rearing, emigration","immigration, spawning, incubation, fry rearing, juvenile rearing, and emigration","immigration, spawning, incubation, fry rearing, juvenile rearing, emigration || immigration, spawning, incubation, fry rearing, juvenile rearing, and emigration","Three Creeks watershed, South Bay, California","Coyote Creek, Stevens Creek, and Guadalupe River, California","Three Creeks watershed, South Bay, California || Coyote Creek, Stevens Creek, and Guadalupe River, California",Oncorhynchus mykiss (steelhead); Oncorhynchus tshawytscha,adult; egg; fry; juvenile_unspecified,"Coyote Creek, California, USA; Guadalupe River, California, USA; Stevens Creek, California, USA"
