id,full_text_file,publication_year,doi,title,lifestage
42,42_chalmers_2023e,,10.1371/journal.pwat.0000069,Application of watershed-scale habitat modeling and decision-support tools for reservoir reoperations in coastal northern California,fry
42,42_chalmers_2023e,,10.1371/journal.pwat.0000069,Application of watershed-scale habitat modeling and decision-support tools for reservoir reoperations in coastal northern California,juvenile_unspecified
43,43_tullos_2014,2014,10.1007/s10641-014-0362-4,"Fish use of turbulence around wood in winter: physical experiments on hydraulic variability and habitat selection by juvenile coho salmon, Oncorhynchus kisutch",juvenile_unspecified
44,44_conallin_2014,2014,10.1051/kmae/2014006,Daytime habitat selection for juvenile parr brown trout (Salmo trutta) in small lowland streams,adult
44,44_conallin_2014,2014,10.1051/kmae/2014006,Daytime habitat selection for juvenile parr brown trout (Salmo trutta) in small lowland streams,juvenile_unspecified
45,45_lacey_2004,2004,10.1111/j.1752-1688.2004.tb01611.x,Reach scale hydraulic assessment of instream salmonid habitat restoration,fry
47,47_studdert_2015,2015,10.1656/045.022.0409,Seasonal Variation in Habitat Use of Juvenile Steelhead in a Tributary of Lake Ontario,subyearling
47,47_studdert_2015,2015,10.1656/045.022.0409,Seasonal Variation in Habitat Use of Juvenile Steelhead in a Tributary of Lake Ontario,yearling
50,50_deschênes_2007,2007,10.1139/f07-053,Hierarchical analysis of relationships between brook trout (Salvelinus fontinalis) density and stream habitat features,juvenile_unspecified
51,51_naman_2021,2021,10.1139/cjfas-2020-0475,Diel patterns of foraging and microhabitat use by sympatric rainbow trout and bull trout: implications for adaptive differentiation and instream flow assessment,juvenile_unspecified
55,55_mocq_2013,2013,10.1016/j.ecolmodel.2013.05.020,Assessment of Atlantic salmon (Salmo salar) habitat quality and its uncertainty using a multiple-expert fuzzy model applied to the Romaine River (Canada),adult
55,55_mocq_2013,2013,10.1016/j.ecolmodel.2013.05.020,Assessment of Atlantic salmon (Salmo salar) habitat quality and its uncertainty using a multiple-expert fuzzy model applied to the Romaine River (Canada),juvenile_unspecified
55,55_mocq_2013,2013,10.1016/j.ecolmodel.2013.05.020,Assessment of Atlantic salmon (Salmo salar) habitat quality and its uncertainty using a multiple-expert fuzzy model applied to the Romaine River (Canada),parr
55,55_mocq_2013,2013,10.1016/j.ecolmodel.2013.05.020,Assessment of Atlantic salmon (Salmo salar) habitat quality and its uncertainty using a multiple-expert fuzzy model applied to the Romaine River (Canada),subyearling
58,58_turgeon_2005,2005,10.1111/j.1365-2427.2005.01340.x,Predicting microhabitat selection in juvenile Atlantic salmon Salmo salar by the use of logistic regression and classification trees,juvenile_unspecified
58,58_turgeon_2005,2005,10.1111/j.1365-2427.2005.01340.x,Predicting microhabitat selection in juvenile Atlantic salmon Salmo salar by the use of logistic regression and classification trees,parr
